[2025-11-28 10:43:36] [INFO] 📍 Запрос от 192.168.0.176: GET /status
[2025-11-28 10:43:36] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 10:43:36] [INFO] 📍 Запрос от 192.168.0.176: POST /verify-token
[2025-11-28 10:43:36] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 10:43:36] [INFO] 📍 Запрос от 192.168.0.176: GET /teachers
[2025-11-28 10:43:36] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 10:43:36] [INFO] 📍 Запрос от 192.168.0.176: GET /students
[2025-11-28 10:43:36] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 10:43:36] [INFO] 📍 Запрос от 192.168.0.176: POST /verify-token
[2025-11-28 10:43:36] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 10:43:36] [INFO] 📍 Запрос от 192.168.0.176: GET /groups
[2025-11-28 10:43:36] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 10:43:36] [INFO] 📍 Запрос от 192.168.0.176: GET /dashboard
[2025-11-28 10:43:37] [INFO] 🔗 Поступил запрос от IP: 192.168.0.176
[2025-11-28 10:43:37] [INFO] 📍 Запрос от 192.168.0.176: GET /profile
[2025-11-28 10:45:01] [INFO] 🔧 Initializing ApiService...
[2025-11-28 12:29:29] [INFO] 🔧 Initializing ApiService...
[2025-11-28 12:29:32] [INFO] 🌐 Сервер будет слушать на всех интерфейсах
[2025-11-28 12:29:32] [INFO] 🚀 Сервер запущен на 0.0.0.0:5000
[2025-11-28 12:38:02] [INFO] 🔗 Поступил запрос от IP: 127.0.0.1
[2025-11-28 12:38:02] [INFO] 📍 Запрос от 127.0.0.1: GET /groups
